Material;Molar weight of molecules in kg/mol calculated from ;Gaseous specific heat capacity parameters from VDI Heat Atlas D3.1 Tab. 6 p. 405;;;;;;;Gaseous thermal conductivity parameters from VDI Heat Atlas D3.1 Tab. 10 p. 445;;;;;Gaseous dynamic viscosity parameters from VDI Heat Atlas D3.1 Tab. 8 p. 425;;;;;Evaporation enthalpy parameters from VDI Heat Atlas D3.1 Tab. 4 S. 385;;;;;Liquid Specific heat capacity parameters from VDI Heat Atlas D3.1 Tab. 5 S. 395;;;;;;Critical values T in K, p in bara, rho in kg/m^3;;;Vapor pressure parameters from VDI Heat Atlas D3.1 Tab. 3 on p. 375;;;;Coefficients for calcutlation of 0,2% Dehngrenze in N/mm^2 from T in K (valid interval 77,15K - 823,15 K) with polynome of order 3 (A+B*T+Ö) (Source: WIAM online database, mechanisch-technologische Eigenschaften);;;;;Coefficients for Elastizit‰tsmodul in kN/mm^2 from T in K (valid interval 173,15 - 1273,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for Linearer Ausdehnungskoeffizient bzgl. 293,15K in 10^-6/K from T in K (valid interval 173,15 - 1273,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for Differentieller Temperaturkoeffizient der L‰nge in 10^-6/K from T in K (valid interval 173,15 - 1273,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for thermal conductivity in W/(m*K) from T in K (valid interval 293,15 - 1073,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for specific electrical resistance in 10^-6*Ohm*m from T in K (valid interval 293,15 - 1073,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for actual specific heat capacity in 10^3 J/(kg*K) from T in K (valid interval 173,15 - 1273,15 K) with polynome of order 3 (A+B*T+Ö) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;;;Diffusion volumes for calculation of diffusivity (species 1 - 5 values are tabulated values) (Acc. To Reid - The Properties of Gases and Liquids?);Number of respective atoms in the molecule for calculation of molar weight and diffusivity volume of non-tabulated materials;;;;;;;;Stoﬂquerschnitt nach Atkins Physikalische Chemie 2022 S. 1128;Porosity acc. GKN Porous Axial p.4+5;alpha acc. GKN Porous Axial p. 4+5 / Psi_v acc. DIN EN ISO 4022;beta acc. GKN Porous Axial p. 4+5 / Psi_i acc. DIN EN ISO 4022;d_min acc. GKN Porous Axial p. 4+5;d_mean acc. GKN Porous Axial p. 4+5;d_max acc. GKN Porous Axial p. 4+5;d_eq acc. GKN Porous Axial p. 4+5;Henry's Constant parameters for Gases and Light Hydrocarbons in n-Paraffins, valid Interval regarding T and n varies but is valid for T = 423Ö528K and n=30 (Source: 10.1016/S0378-3812(97)00166-0);;;;;;Molar density at boiling point to calculate Diffusion coefficient in liquid (https://webbook.nist.gov/chemistry/fluid/)
;kg/mol;A;B;C;D;E;F;G;A*10^3;B*10^3;C*10^6;D*10^9;E*10^12;A*10^5;B*10^7;C*10^10;D*10^12;E*10^15;A;B;C;D;E;A;B;C;D;E;F;T;p;rho;A;B;C;D;A;B;C;D;E;A;B;A;B;A;B;A;B;A;B;A;B;C;D;10^6 m^3/mol;C;H;O;N;S;Fe;Cr;Ni;nm^2;-;10^-12 m^2;10^-7 m^2;µm;µm;µm;µm;A;B;C;D;E;DeltaH;mol/m^3
C14H30;0.198;544.0586;42.6709;4.2513;-40.5758;203.7442;-317.2459;194.1666;-1.684;0.00992;0.07794;0;0;-0.10594;0.15831;-0.00071;0;0;7.96599;7.28007;4.698876;-9.566327;41.04442;0;86.1144;-59.3516;0;0;0;693.05;15.7;239;-8.99672;1.98553;-5.38986;-4.09226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;291.9;14;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C15H32;0.212;499.0399;65.1836;8.3493;-48.4514;218.6957;-332.805;192.8519;-6.608;0.0215;0.0682;0;0;-0.11473;0.15678;-0.0015;0;0;10.21651;9.06799;-4.682578;-0.826136;38.409983;0;93.3129;-64.1464;0;0;0;708.05;14.8;239;-8.86498;0.89612;-3.70098;-8.72916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;312.42;15;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C16H34;0.226;668.1744;18.2523;2.5022;-4.1518;177.7261;-329.3481;256.6324;-6.286;0.01898;0.06793;0;0;-0.13795;0.16148;-0.00748;0;0;11.99309;8.12193;-8.228896;5.197405;26.068465;0;100.7177;-70.0879;0;0;0;723.05;14;240;-8.96067;0.85195;-4.0408;-8.42218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;332.94;16;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C17H36;0.240;578.0195;45.7412;5.8301;-39.9872;215.2157;-341.8782;213.0248;1.219;-0.0065;0.08176;0;0;-0.12993;0.15482;-0.00366;0;0;15.94792;2.03335;-8.589551;11.148766;7.32238;0;107.7204;-74.6158;0;0;0;736.05;13.4;241;-9.43782;1.65057;-5.70751;-4.71679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;353.46;17;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C18H38;0.254;536.1229;55.907;9.8791;-44.9358;222.4113;-345.4429;210.0998;1.394;-0.00712;0.07967;0;0;-0.12837;0.15164;-0.00385;0;0;9.51541;13.40476;-6.317356;-2.039126;29.956901;0;114.5685;-79.3947;0;0;0;747.05;12.7;240;-9.87775;2.42883;-7.03772;-3.36978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;373.98;18;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C19H40;0.269;582.1373;49.4869;10.0892;-42.4034;230.8885;-366.4691;228.9834;-1.657;0.00027;0.07287;0;0;-0.12631;0.14796;-0.00355;0;0;10.54728;11.87652;-5.153424;-3.744106;87.493331;0;122.6402;-86.1313;0;0;0;758.05;12.1;240;-9.91003;1.64273;-5.20678;-10.43208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;394.5;19;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C20H42;0.283;566.8372;54.1062;12.4032;-44.8725;237.4861;-374.5789;232.4371;1.519;-0.00772;0.07588;0;0;-0.12507;0.14488;-0.00364;0;0;12.81896;4.66635;-0.617286;2.5951;-5.39659;0;129.9485;-92.5652;0;0;0;769.63;11.28;234;-8.99815;-1.3023;-1.45511;-16.74038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;415.02;20;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C21H44;0.297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;435.54;21;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C22H46;0.311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;456.06;22;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C23H48;0.325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;476.58;23;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C24H50;0.339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;497.1;24;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C25H52;0.353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;517.62;25;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C26H54;0.367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;538.14;26;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C27H56;0.381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;558.66;27;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C28H58;0.395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;579.18;28;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
