Material;Molar weight of molecules in kg/mol calculated from ;Gaseous specific heat capacity parameters from VDI Heat Atlas D3.1 Tab. 6 p. 405;;;;;;;Gaseous thermal conductivity parameters from VDI Heat Atlas D3.1 Tab. 10 p. 445;;;;;Gaseous dynamic viscosity parameters from VDI Heat Atlas D3.1 Tab. 8 p. 425;;;;;Evaporation enthalpy parameters from VDI Heat Atlas D3.1 Tab. 4 S. 385;;;;;Liquid Specific heat capacity parameters from VDI Heat Atlas D3.1 Tab. 5 S. 395;;;;;;Critical values T in K, p in bara, rho in kg/m^3;;;Vapor pressure parameters from VDI Heat Atlas D3.1 Tab. 3 on p. 375;;;;Coefficients for calcutlation of 0,2% Dehngrenze in N/mm^2 from T in K (valid interval 77,15K - 823,15 K) with polynome of order 3 (A+B*T+Ö) (Source: WIAM online database, mechanisch-technologische Eigenschaften);;;;;Coefficients for Elastizit‰tsmodul in kN/mm^2 from T in K (valid interval 173,15 - 1273,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for Linearer Ausdehnungskoeffizient bzgl. 293,15K in 10^-6/K from T in K (valid interval 173,15 - 1273,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for Differentieller Temperaturkoeffizient der L‰nge in 10^-6/K from T in K (valid interval 173,15 - 1273,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for thermal conductivity in W/(m*K) from T in K (valid interval 293,15 - 1073,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for specific electrical resistance in 10^-6*Ohm*m from T in K (valid interval 293,15 - 1073,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for actual specific heat capacity in 10^3 J/(kg*K) from T in K (valid interval 173,15 - 1273,15 K) with polynome of order 3 (A+B*T+Ö) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;;;Diffusion volumes for calculation of diffusivity (species 1 - 5 values are tabulated values) (Acc. To Reid - The Properties of Gases and Liquids?);Number of respective atoms in the molecule for calculation of molar weight and diffusivity volume of non-tabulated materials;;;;;;;;Stoﬂquerschnitt nach Atkins Physikalische Chemie 2022 S. 1128;Porosity acc. GKN Porous Axial p.4+5;alpha acc. GKN Porous Axial p. 4+5 / Psi_v acc. DIN EN ISO 4022;beta acc. GKN Porous Axial p. 4+5 / Psi_i acc. DIN EN ISO 4022;d_min acc. GKN Porous Axial p. 4+5;d_mean acc. GKN Porous Axial p. 4+5;d_max acc. GKN Porous Axial p. 4+5;d_eq acc. GKN Porous Axial p. 4+5;Henry's Constant parameters for Gases and Light Hydrocarbons in n-Paraffins, valid Interval regarding T and n varies but is valid for T = 423Ö528K and n=30 (Source: 10.1016/S0378-3812(97)00166-0);;;;;;Molar density at boiling point to calculate Diffusion coefficient in liquid (https://webbook.nist.gov/chemistry/fluid/)
;kg/mol;A;B;C;D;E;F;G;A*10^3;B*10^3;C*10^6;D*10^9;E*10^12;A*10^5;B*10^7;C*10^10;D*10^12;E*10^15;A;B;C;D;E;A;B;C;D;E;F;T;p;rho;A;B;C;D;A;B;C;D;E;A;B;A;B;A;B;A;B;A;B;A;B;C;D;10^6 m^3/mol;C;H;O;N;S;Fe;Cr;Ni;nm^2;-;10^-12 m^2;10^-7 m^2;µm;µm;µm;µm;A;B;C;D;E;DeltaH;mol/m^3
i-C9H20;0.128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189.3;9;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C10H22;0.142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;209.82;10;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C11H24;0.156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;230.34;11;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C12H26;0.170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250.86;12;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C13H28;0.184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271.38;13;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C14H30;0.198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;291.9;14;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C15H32;0.212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;312.42;15;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C16H34;0.226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;332.94;16;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C17H36;0.240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;353.46;17;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C18H38;0.254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;373.98;18;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C19H40;0.269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;394.5;19;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C20H42;0.283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;415.02;20;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C21H44;0.297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;435.54;21;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C22H46;0.311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;456.06;22;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C23H48;0.325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;476.58;23;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C24H50;0.339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;497.1;24;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C25H52;0.353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;517.62;25;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C26H54;0.367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;538.14;26;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C27H56;0.381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;558.66;27;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C28H58;0.395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;579.18;28;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C29H60;0.409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;599.7;29;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C30H62;0.423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;620.22;30;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C31H64;0.437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;640.74;31;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C32H66;0.451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;661.26;32;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C33H68;0.465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;681.78;33;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C34H70;0.479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;702.3;34;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C35H72;0.493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;722.82;35;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C36H74;0.507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;743.34;36;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C37H76;0.521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;763.86;37;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C38H78;0.535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;784.38;38;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C39H80;0.549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;804.9;39;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C40H82;0.563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;825.42;40;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C41H84;0.577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;845.94;41;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C42H86;0.591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;866.46;42;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C43H88;0.605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;886.98;43;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C44H90;0.619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;907.5;44;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C45H92;0.633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;928.02;45;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C46H94;0.647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;948.54;46;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C47H96;0.661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;969.06;47;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C48H98;0.675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;989.58;48;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C49H100;0.689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1010.1;49;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
i-C50H102;0.703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1030.62;50;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
316L;0.056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;396.55;-0.5652;-0.0009;0.000003;-0.000000002;219.27;-0.0789;14.912;0.0043;13.785;0.0077;9.2661;0.015;0.6706;0.0005;293.9;0.8;-0.0007;0.0000002;0;0;0;0;0;0;0.71;0.17;0.12;0;0;0;0;0;0;0;0;;;;;;;
sikaR05AX;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.21;0.1;0.03;1.5;3.2;5;4;;;;;;;
sikaR1AX;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.21;0.2;0.05;1.4;3.5;8;6;;;;;;;
sikaR3AX;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.31;0.6;0.4;4;6;11;8;;;;;;;
sikaR5AX;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.31;1.1;1.2;7;10;14;11;;;;;;;
sikaR10AX;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.43;3.8;13;12;17;25;17;;;;;;;
sikaR15AX;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;4.2;17;13;19;30;18;;;;;;;
sikaR20AX;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.43;7.2;22;12;20;37;23;;;;;;;
sikaR30AX;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.43;14;29;18;28;56;32;;;;;;;
sikaR40AX;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.36;25;36;21;32;70;42;;;;;;;
sikaR50AX;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.47;36;44;24;42;94;49;;;;;;;
sikaR80AX;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;43;47;22;42;109;53;;;;;;;
sikaR100AX;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.52;58;57;24;47;117;60;;;;;;;
sikaR150AX;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.47;62;63;26;62;139;65;;;;;;;
sikaR200AX;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.51;78;87;28;65;135;70;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
